Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
2013,67199694458.9368,0.424797059853198,1.50472330251876,11.706797726329352,1586778324179.22,1366940257620.0,0.396995583779145,5.316,80645605.0,3896452625221.58,3807023797050.99,42179007.0,219838066559.21997,47206.835351424175,-2.349048310122556,77.58602885769297,1.765150365253594,52.3016809161516
2014,17356720097.6154,0.410256031524889,0.906794000434245,11.706797726329352,1653100023449.01,1393837781387.05,2.18018602168017,4.979,80982500.0,4048097324395.67,3964870735760.77,42451594.0,259262242061.95996,48959.59912031328,-2.0990996726386486,76.8483516336232,0.4377625717042458,52.42070076868459
2015,62418993509.2489,0.434667850022148,0.514426137125456,11.706797726329352,1458592274325.0,1204648073431.64,1.66300602334775,4.612,81686611.0,3492650052066.01,3425099578746.09,42693402.0,253944200893.3601,41929.754911072145,-1.97221925280928,77.7565815686923,1.8223993806364063,52.26487116719777
2016,58132711370.7803,0.431448396775245,0.491747008445174,11.706797726329352,1472560807845.53,1215609853746.31,2.22222216259371,4.104,82348669.0,3638261024242.42,3536787895179.0,43118037.0,256950954099.21997,42948.9381932694,-2.8690758979846676,76.00599021660554,1.6436584011730266,52.360332624198215
2017,108786501529.106,0.457020297790474,1.50949485109628,11.706797726329352,1589089750187.06,1327357307454.12,2.797906720551,3.781,82657002.0,3861080809000.01,3765351626105.89,43391708.0,261732442732.93994,45553.93414953388,-2.5423703388127477,77.45483947424471,2.889145884141836,52.496106742414874
2018,162250938125.842,0.459956403292382,1.73216879766941,11.706797726329352,1723433049609.41,1485437649157.65,1.13569604599849,3.384,82905782.0,4214947102850.19,4055433215301.96,43612526.0,237995400451.76,48916.16866121545,-3.9333377984465927,79.12522604636538,4.000828752736867,52.604926879526936
2019,75463438450.8916,0.463100143375706,1.44565976888253,11.706797726329352,1676629137011.76,1454588084839.21,0.977734697038784,3.163,83092962.0,4106477666878.42,3959894794039.21,43981829.0,222041052172.55005,47656.19973974703,-3.701686041251896,79.07324271756815,1.9056930139781987,52.93087157008556
2020,176781024357.228,0.477487831020722,0.144877925813981,11.706797726329352,1541867660412.46,1332733837256.03,-4.13191443239947,3.881,83160871.0,4041530721161.1,3941398957073.94,43372704.0,209133823156.42993,47394.8734504469,-2.54051328418418,72.93353271201374,4.4852354781275094,52.155182453536355
2021,127609826748.268,0.465094604231552,3.06666666666673,11.706797726329352,1851846071996.09,1628851031193.77,3.90999994204108,3.594,83196078.0,4500885133271.25,4355251953410.78,43283278.0,222995040802.32007,52349.24599944218,-3.3438520071478015,79.91953486098504,2.9300216867667417,52.02562313093654
2022,87215414562.4594,0.466478241668682,6.87257438551096,11.706797726329352,1916859170749.03,1813049636001.95,1.8092581243061,3.137,83177813.0,4326585119992.23,4201021706478.62,43561312.0,103809534747.08008,50506.51796385438,-2.9888779988918364,88.78575421304986,2.076052461903728,52.371312046879616
2023,77438957875.1405,0.460768626602933,5.94643667725823,11.706797726329352,1960255682615.72,1779045873341.21,-0.869647578573321,3.071,83287273.0,4709991003415.77,4562207532490.28,43771247.0,181209809274.51,54776.766823549144,-3.239297420668228,81.96254837876332,1.6974010349956714,52.55454455808633
2024,47599143488.7827,0.452984461006563,2.2564981433876,11.706797726329352,1941431210621.87,1764438191610.94,-0.495851897260366,3.4,83516593.0,4847009059489.84,4685592577804.69,43801773.0,176993019010.93018,56103.73231825549,-3.4449534184804604,79.09073058949348,1.015861765580225,52.44679102271329
