Year,FDI_Inflows_USD,Remittances_Pct_GDP,Inflation_CPI_Pct,Lending_Interest_Rate_Pct,Exports_USD,Imports_USD,GDP_Growth_Pct,Unemployment_Pct,Population,GNI_USD,GDP_Current_USD,Labor_Force_Total,Trade_Balance_USD,GDP_Per_Capita_USD,GDP_GNI_Gap_Pct,Economic_Openness_Pct,FDI_to_GDP_Pct,Labor_Participation_Rate_Pct
1990,236690000.0,0.742646650962366,8.9712325027325,16.5,22639774911.5525,27132072318.021,5.53345456125301,7.267676470588235,864972221.0,316775332518.038,320979026420.035,307898649.0,-4492297406.468498,371.0859362037651,1.309647533323866,15.50626151019655,0.07374002053650264,35.596362695213074
1991,73537638.388533,1.2177135602415,13.8702461773683,17.875,22943398073.2995,22941358805.152,1.05683143496063,7.641,883927600.0,265995400854.861,270105341879.226,315875620.0,2039268.1474990845,305.5740559285919,1.5216067167611687,16.987726551135097,0.027225540182546398,35.735462949680496
1992,276512438.973893,1.00532422086761,11.7878170418134,18.9166666666667,25486029046.6975,27639649994.19,5.48239602040357,7.649,902957070.0,283798978165.926,288208070278.013,324021661.0,-2153620947.4925003,319.1824726263155,1.5298295109619415,18.433099041828036,0.09594194871335902,35.884503457069115
1993,550370024.929383,1.26131148080304,6.32689048779867,16.25,27466541462.9135,27419354118.7633,4.75077621776924,7.662,922118387.0,275444141432.969,279295648982.529,332338730.0,47187344.15019989,302.88480624617347,1.3790073578270903,19.651539786468398,0.19705642638343096,36.040787678166105
1994,973271468.722873,1.78953392020369,10.2479355556119,14.75,32361214431.4321,33349501147.7089,6.65892407028434,7.593,941163767.0,323107987156.158,327274843459.429,340802039.0,-988286716.2768021,347.73421473994017,1.2731978600083098,20.078144376925476,0.2973865813928731,36.21070540000931
1995,2143628110.28391,1.72725749335087,10.2248861637544,15.4583333333333,39068855117.8518,43318425767.7707,7.57449183788519,7.57,960301044.0,356252288641.836,360281909643.489,351330547.0,-4249570649.9188995,375.17600537304946,1.1184633182499948,22.86744870624991,0.594986329567616,36.585459236468346
1996,2426057021.91092,2.23104187398418,8.97715233826453,15.9583333333333,40803004618.1754,45357266003.2021,7.54952224920051,7.537,979678458.0,389211880588.551,392896866204.516,362330724.0,-4554261385.026703,401.04675467357885,0.9379015036599471,21.929487871386634,0.6174793516037046,36.984657674283575
1997,3577330042.34585,2.48419591903833,7.16425211462724,13.8333333333333,44459225642.5392,49607467421.0891,4.04982084998183,7.574,999133762.0,412313850436.229,415867563592.829,373673862.0,-5148241778.549904,416.2281162037531,0.854530015733416,22.619386867047865,0.8602089596601411,37.39978331349792
1998,2634651657.7714,2.24973791761798,13.2308389767977,13.5416666666667,46426465025.0477,53431564328.4224,6.18441582172117,7.596,1018665080.0,417792779082.3,421351317224.941,385347723.0,-7005099303.374702,413.6308640568507,0.8445537007165077,23.699470079064753,0.6252862041878643,37.828696650718605
1999,2168591054.37924,2.42453583586909,4.66982038037594,12.5416666666667,52544483402.6936,61314704757.0345,8.84575555939531,7.583,1038225823.0,455260118903.94,458821052615.79,397354085.0,-8770221354.340897,441.9279914363968,0.7761051267261376,24.815598044292905,0.4726441914589273,38.27241397751286
2000,3584217307.18755,2.75055276181012,4.0094359104519,12.2916666666667,60878472821.2004,65124245375.0531,3.84099115659129,7.589,1057922733.0,463419538385.564,468395521654.458,409617771.0,-4245772553.8526993,442.75021893726336,1.0623464655080188,26.900922910447356,0.7652116942808173,38.71906314352733
2001,5128093561.62688,2.94022220760942,3.77929312235637,12.0833333333333,60963415576.6447,65218276482.1322,4.82396626555771,7.611,1077898575.0,481232454354.65,485440139204.171,418764922.0,-4254860905.487503,450.35790051412863,0.8667772830691465,25.99325475343649,1.056380209933579,38.85012298119051
2002,5208967106.27894,3.05584389568309,4.29715203929563,11.9166666666667,73452895951.6331,78498759285.7313,3.80397532112175,7.681,1097600380.0,511491219784.627,514939140318.756,427829074.0,-5045863334.09819,469.1499289739276,0.669578259674463,29.508662935061363,1.0115694648991922,38.9785828973565
2003,3681984671.43428,3.45550884243655,3.80585899528851,11.4583333333333,90838575243.7621,95071869378.5573,7.8603814759073,7.633,1116803006.0,603194284371.778,607700687237.318,436753652.0,-4233294134.7951965,544.1431335450023,0.7415497398936145,30.59243613290798,0.6058878570917922,39.1074925169032
2004,5429250989.85717,2.64405343790174,3.76725173477515,10.9166666666667,126648472020.752,139310848797.436,7.92293661199932,7.598,1135991513.0,704172929910.938,709152728830.775,445825854.0,-12662376776.684006,624.2588265100666,0.7022181142907743,37.50381405944696,0.7655968551102834,39.245526828156855
2005,7269407225.61438,2.69691947410043,4.24634362031922,10.75,160838260680.778,183736617243.328,7.92343062148318,7.551,1154676322.0,814484973025.502,820383763511.445,454832471.0,-22898356562.549988,710.4880804089486,0.7190281851379791,42.00166961486909,0.886098378458823,39.39047353220083
2006,20029119267.1396,3.01338413110281,5.79652337561634,11.1875,199973922363.783,229955027127.372,8.06073257166651,7.553,1172878890.0,932915277251.682,940259888787.721,457611460.0,-29981104763.58902,801.6683536590218,0.7811256891441326,45.7244804992653,2.1301684253449524,39.016088012292556
2007,25227740886.6819,3.05873598319171,6.37288135593231,13.0208333333333,253077526013.168,302803952552.5,7.6608150670107,7.562,1190676021.0,1211641639990.71,1216736438834.96,460225575.0,-49726426539.332,1021.8870770682632,0.41872657723050793,45.68626867934778,2.0733940466875285,38.65246018925244
2008,43406277075.8108,4.16861118961249,8.34926704907581,13.3125,288902044820.698,350926955799.106,3.08669805921981,7.629,1207930964.0,1191736971828.07,1198895139005.92,462536166.0,-62024910978.40802,992.5195849238285,0.5970636584434853,53.36822043922263,3.6205232354016967,38.291606042479096
2009,35581372929.6641,3.6667673744297,10.8823529411764,12.1875,273752124889.211,347177967968.316,7.86188883286074,7.636,1225524753.0,1333878515185.91,1341888016994.9,464953334.0,-73425843079.10498,1094.9497459843635,0.5968830265678147,46.27286964288369,2.651590332354785,37.939122230034634
2010,27396885033.7838,3.19166058450459,11.9893899204244,8.33335,375353514026.267,449974370198.802,8.49758470221235,7.631,1243481564.0,1657660502177.3,1675615519484.96,467561989.0,-74620856172.53497,1347.5193907136688,1.071547565588245,49.25520649741613,1.635034094349095,37.601039093491536
2011,36498654597.8589,3.42826651551382,8.91179336483371,10.1666666666667,447384417625.093,566667744819.908,5.24131619937695,7.609,1261224954.0,1807020595447.34,1823051829894.55,471891929.0,-119283327194.81494,1445.4612748603688,0.8793625164314306,55.623880013529636,2.002063462999298,37.415365712784656
2012,23995685014.2141,3.76554510581057,9.47899691419801,10.6041666666667,448400477361.254,571306554042.386,5.45638755166587,7.645,1278674502.0,1806177396650.21,1827637590410.41,476101422.0,-122906076681.13196,1429.3219952003155,1.174204003725974,55.79372172875132,1.3129345303532354,37.233981068311
